time point	time (ms)
404	-3.418
405	-2.9297
406	-2.4414
407	-1.9531
408	-1.4648
409	-0.9766
410	-0.4883
411	0
412	0.4883
413	0.9766
414	1.4648
415	1.9531
416	2.4414
417	2.9297
418	3.418
419	3.9063
420	4.3945
421	4.8828
422	5.3711
423	5.8594
424	6.3477
425	6.8359
426	7.3242
427	7.8125
428	8.3008
429	8.7891
430	9.2773
431	9.7656
432	10.2539
433	10.7422
434	11.2305
435	11.7188
436	12.207
437	12.6953
438	13.1836
439	13.6719
440	14.1602
441	14.6484
442	15.1367
443	15.625
444	16.1133
445	16.6016
446	17.0898
447	17.5781
448	18.0664
449	18.5547
450	19.043
451	19.5313
452	20.0195
453	20.5078
454	20.9961
455	21.4844
456	21.9727
457	22.4609
458	22.9492
459	23.4375
460	23.9258
461	24.4141
462	24.9023
463	25.3906
464	25.8789
465	26.3672
466	26.8555
467	27.3438
468	27.832
469	28.3203
470	28.8086
471	29.2969
472	29.7852
473	30.2734
474	30.7617
475	31.25
476	31.7383
477	32.2266
478	32.7148
479	33.2031
480	33.6914
481	34.1797
482	34.668
483	35.1563
484	35.6445
485	36.1328
486	36.6211
487	37.1094
488	37.5977
489	38.0859
490	38.5742
491	39.0625
492	39.5508
493	40.0391
494	40.5273
495	41.0156
496	41.5039
497	41.9922
498	42.4805
499	42.9688
500	43.457
501	43.9453
502	44.4336
503	44.9219
504	45.4102
505	45.8984
506	46.3867
507	46.875
508	47.3633
509	47.8516
510	48.3398
511	48.8281
512	49.3164
513	49.8047
514	50.293
515	50.7813
516	51.2695
517	51.7578
518	52.2461
519	52.7344
520	53.2227
521	53.7109
522	54.1992
523	54.6875
524	55.1758
525	55.6641
526	56.1523
527	56.6406
528	57.1289
529	57.6172
530	58.1055
531	58.5938
532	59.082
533	59.5703
534	60.0586
535	60.5469
536	61.0352
537	61.5234
538	62.0117
539	62.5
540	62.9883
541	63.4766
542	63.9648
543	64.4531
544	64.9414
545	65.4297
546	65.918
547	66.4063
548	66.8945
549	67.3828
550	67.8711
551	68.3594
552	68.8477
553	69.3359
554	69.8242
555	70.3125
556	70.8008
557	71.2891
558	71.7773
559	72.2656
560	72.7539
561	73.2422
562	73.7305
563	74.2188
564	74.707
565	75.1953
566	75.6836
567	76.1719
568	76.6602
569	77.1484
570	77.6367
571	78.125
572	78.6133
573	79.1016
574	79.5898
575	80.0781
576	80.5664
577	81.0547
578	81.543
579	82.0313
580	82.5195
581	83.0078
582	83.4961
583	83.9844
584	84.4727
585	84.9609
586	85.4492
587	85.9375
588	86.4258
589	86.9141
590	87.4023
591	87.8906
592	88.3789
593	88.8672
594	89.3555
595	89.8438
596	90.332
597	90.8203
598	91.3086
599	91.7969
600	92.2852
601	92.7734
602	93.2617
603	93.75
604	94.2383
605	94.7266
606	95.2148
607	95.7031
608	96.1914
609	96.6797
610	97.168
611	97.6563
612	98.1445
613	98.6328
614	99.1211
615	99.6094
616	100.0977
617	100.5859
618	101.0742
619	101.5625
620	102.0508
621	102.5391
622	103.0273
623	103.5156
624	104.0039
625	104.4922
626	104.9805
627	105.4688
628	105.957
629	106.4453
630	106.9336
631	107.4219
632	107.9102
633	108.3984
634	108.8867
635	109.375
636	109.8633
637	110.3516
638	110.8398
639	111.3281
640	111.8164
641	112.3047
642	112.793
643	113.2813
644	113.7695
645	114.2578
646	114.7461
647	115.2344
648	115.7227
649	116.2109
650	116.6992
651	117.1875
652	117.6758
653	118.1641
654	118.6523
655	119.1406
656	119.6289
657	120.1172
658	120.6055
659	121.0938
660	121.582
661	122.0703
662	122.5586
663	123.0469
664	123.5352
665	124.0234
666	124.5117
667	125
668	125.4883
669	125.9766
670	126.4648
671	126.9531
672	127.4414
673	127.9297
674	128.418
675	128.9063
676	129.3945
677	129.8828
678	130.3711
679	130.8594
680	131.3477
681	131.8359
682	132.3242
683	132.8125
684	133.3008
685	133.7891
686	134.2773
687	134.7656
688	135.2539
689	135.7422
690	136.2305
691	136.7188
692	137.207
693	137.6953
694	138.1836
695	138.6719
696	139.1602
697	139.6484
698	140.1367
699	140.625
700	141.1133
701	141.6016
702	142.0898
703	142.5781
704	143.0664
705	143.5547
706	144.043
707	144.5313
708	145.0195
709	145.5078
710	145.9961
711	146.4844
712	146.9727
713	147.4609
714	147.9492
715	148.4375
716	148.9258
717	149.4141
718	149.9023
719	150.3906
720	150.8789
721	151.3672
722	151.8555
723	152.3438
724	152.832
725	153.3203
726	153.8086
727	154.2969
728	154.7852
729	155.2734
730	155.7617
731	156.25
732	156.7383
733	157.2266
734	157.7148
735	158.2031
736	158.6914
737	159.1797
738	159.668
739	160.1563
740	160.6445
741	161.1328
742	161.6211
743	162.1094
744	162.5977
745	163.0859
746	163.5742
747	164.0625
748	164.5508
749	165.0391
750	165.5273
751	166.0156
752	166.5039
753	166.9922
754	167.4805
755	167.9688
756	168.457
757	168.9453
758	169.4336
759	169.9219
760	170.4102
761	170.8984
762	171.3867
763	171.875
764	172.3633
765	172.8516
766	173.3398
767	173.8281
768	174.3164
769	174.8047
770	175.293
771	175.7813
772	176.2695
773	176.7578
774	177.2461
775	177.7344
776	178.2227
777	178.7109
778	179.1992
779	179.6875
780	180.1758
781	180.6641
782	181.1523
783	181.6406
784	182.1289
785	182.6172
786	183.1055
787	183.5938
788	184.082
789	184.5703
790	185.0586
791	185.5469
792	186.0352
793	186.5234
794	187.0117
795	187.5
796	187.9883
797	188.4766
798	188.9648
799	189.4531
800	189.9414
801	190.4297
802	190.918
803	191.4063
804	191.8945
805	192.3828
806	192.8711
807	193.3594
808	193.8477
809	194.3359
810	194.8242
811	195.3125
812	195.8008
813	196.2891
814	196.7773
815	197.2656
816	197.7539
817	198.2422
818	198.7305
819	199.2188
820	199.707
821	200.1953
822	200.6836
823	201.1719
824	201.6602
825	202.1484
826	202.6367
827	203.125
828	203.6133
829	204.1016
830	204.5898
831	205.0781
832	205.5664
833	206.0547
834	206.543
835	207.0313
836	207.5195
837	208.0078
838	208.4961
839	208.9844
840	209.4727
841	209.9609
842	210.4492
843	210.9375
844	211.4258
845	211.9141
846	212.4023
847	212.8906
848	213.3789
849	213.8672
850	214.3555
851	214.8438
852	215.332
853	215.8203
854	216.3086
855	216.7969
856	217.2852
857	217.7734
858	218.2617
859	218.75
860	219.2383
861	219.7266
862	220.2148
863	220.7031
864	221.1914
865	221.6797
866	222.168
867	222.6563
868	223.1445
869	223.6328
870	224.1211
871	224.6094
872	225.0977
873	225.5859
